split,seed,policy,mean_oracle_regret,mean_efficiency_error,mean_stop_step,mean_best_score,mean_evaluation_count
calibration,105,MINUS_GAIN,-0.005946673603448154,0.19458074951615248,28.833333333333332,0.9180494588171807,692.0
calibration,105,MINUS_STAGNATION,0.031032062622199003,0.23155948574179966,49.111111111111114,0.960280792035978,1178.6666666666667
calibration,105,MINUS_UNCERTAINTY,-0.0034751553617330894,0.19705226775786755,27.63888888888889,0.9109121419643547,663.3333333333334
calibration,105,ORACLE,0.0,0.20052742311960065,39.111111111111114,0.9522503546581772,938.6666666666666
calibration,105,RANDOM_MATCHED,-0.005283191185403883,0.19524423193419674,29.61111111111111,0.9204241708435811,710.6666666666666
calibration,105,SIGNAL_SHUFFLED,0.06699503010726993,0.26752245322687057,13.38888888888889,0.7847778939953517,321.3333333333333
calibration,105,STAGNATION_ONLY,-0.004487054261884362,0.19604036885771625,29.055555555555557,0.9174578950311726,697.3333333333334
calibration,105,TIME_ONLY,-0.004555945093417986,0.19597147802618264,32.0,0.9290285219738172,768.0
validation,106,DIFFICULTY_BLIND,-0.00042961369295250557,0.2244028869479498,29.13888888888889,0.8894208977742726,699.3333333333334
validation,106,EQUAL_BUDGET_FIXED,-0.0047929380816403855,0.2200395625592619,29.0,0.8932416874407383,696.0
validation,106,FULL_AB,-0.0049255859060464485,0.21990691473485585,29.13888888888889,0.8939168699873663,699.3333333333334
validation,106,MINUS_DIVERSITY,-0.005589994365321399,0.21924250627558087,26.13888888888889,0.8828625284466414,627.3333333333334
validation,106,MINUS_GAIN,-0.00279242598444311,0.22204007465645917,28.555555555555557,0.8895050642324297,685.3333333333334
validation,106,MINUS_STAGNATION,0.030843383523086503,0.2556758841639888,48.77777777777778,0.9348623102804557,1170.6666666666667
validation,106,MINUS_UNCERTAINTY,-0.005485855113558865,0.21934664552734345,27.194444444444443,0.8868816530837678,652.6666666666666
validation,106,ORACLE,0.0,0.22483250064090227,42.22222222222222,0.9400980549146536,1013.3333333333334
validation,106,RANDOM_MATCHED,-0.006160365274381106,0.21867213536652116,29.22222222222222,0.8954771701890345,701.3333333333334
validation,106,SIGNAL_SHUFFLED,0.02260626381675133,0.24743876445765356,13.86111111111111,0.8067062008201242,332.6666666666667
validation,106,STAGNATION_ONLY,-0.0017164462472341448,0.22311605439366808,27.77777777777778,0.8853908900507764,666.6666666666666
validation,106,TIME_ONLY,-0.007351069028722805,0.21748143161217948,32.0,0.9075185683878205,768.0
validation,107,DIFFICULTY_BLIND,-0.015558993213378926,0.2317188167055965,29.305555555555557,0.8827560096832925,703.3333333333334
validation,107,EQUAL_BUDGET_FIXED,-0.015768611759219855,0.23150919815975557,29.0,0.8817720518402444,696.0
validation,107,FULL_AB,-0.018484048780657125,0.22879376113831829,29.305555555555557,0.8856810652505706,703.3333333333334
validation,107,MINUS_DIVERSITY,-0.013823518455341141,0.23345429146363428,26.38888888888889,0.8696273057585879,633.3333333333334
validation,107,MINUS_GAIN,-0.016442697934887215,0.23083511198408824,28.805555555555557,0.8816865894048007,691.3333333333334
validation,107,MINUS_STAGNATION,0.014563274961987865,0.2618410848809633,48.611111111111114,0.9280460678968147,1166.6666666666667
validation,107,MINUS_UNCERTAINTY,-0.016969706302720697,0.23030810361625476,27.5,0.8771137713837454,660.0
