split,seed,episode,difficulty,step,gain,score_std,diversity,stagnation,hazard,cumulative_hazard,oracle_value,oracle_action
calibration,100,7,MEDIUM,8,0.0,0.12431718269355323,0.263473731884058,1,0.15940600360025672,1.503281916806357,0.13725527108433724,CONTINUE
calibration,100,7,MEDIUM,16,0.0,0.13663154556352175,0.22441123188405798,2,0.19966825053525422,3.548908444350544,0.05453689759036133,CONTINUE
calibration,100,7,MEDIUM,32,0.0,0.15815884301303484,0.1771965579710145,7,0.4707865179769916,10.949702178698598,0.007887801204819276,CONTINUE
calibration,100,7,RUGGED,4,0.03313953488372101,0.09274827318887915,0.24886775362318841,0,0.11651406714055787,0.6845448945337762,0.19968204941860457,CONTINUE
calibration,100,7,RUGGED,8,0.0,0.12382942733639811,0.263473731884058,1,0.15948444779796123,1.500893420560232,0.13548328488372083,CONTINUE
calibration,100,7,RUGGED,16,0.0,0.13479111453047196,0.22441123188405798,2,0.20002140754709694,3.5500082204798518,0.0530886627906976,CONTINUE
calibration,100,7,RUGGED,32,0.0,0.15569848837403608,0.1771965579710145,7,0.47152216760329435,10.959037856882118,0.00728561046511628,CONTINUE
calibration,100,8,EASY,4,0.05987654320987679,0.10423458069074276,0.34125905797101447,0,0.09400180999961062,0.6441649314193,0.13433641975308636,CONTINUE
calibration,100,8,EASY,8,0.0,0.13376606105639594,0.30095108695652173,3,0.229440991057237,1.5945015269122549,0.07195216049382724,CONTINUE
calibration,100,8,EASY,16,0.0,0.11776677508599084,0.21331521739130435,1,0.16733475780787008,3.5512759009257473,-0.00038580246913587357,STOP
calibration,100,8,EASY,32,0.0,0.16760460704316707,0.184669384057971,14,0.8339943892716308,12.246302209074175,0.00682870370370374,CONTINUE
calibration,100,8,MEDIUM,4,0.0560240963855424,0.10163769408213139,0.34125905797101447,0,0.09592507914573055,0.6483455627160707,0.13767884036144565,CONTINUE
calibration,100,8,MEDIUM,8,0.0,0.13055158523278,0.30095108695652173,3,0.23012367748603502,1.6018879481829098,0.07839796686746986,CONTINUE
calibration,100,8,MEDIUM,16,0.0,0.11635106720864781,0.21331521739130435,1,0.1675715988132969,3.5610204756911297,-0.0012707078313253656,STOP
calibration,100,8,MEDIUM,32,0.0,0.1654192941286604,0.184669384057971,14,0.834357133333066,12.266377647472149,0.007944277108433824,CONTINUE
calibration,100,8,RUGGED,4,0.05058139534883721,0.09809154700848621,0.34125905797101447,0,0.09868908784317755,0.6555706248278468,0.13819949127906977,CONTINUE
calibration,100,8,RUGGED,8,0.0,0.12731827825488487,0.2452445652173913,3,0.240849735635146,1.6246698595874005,0.07976017441860478,CONTINUE
calibration,100,8,RUGGED,16,0.0,0.11442952037222184,0.21331521739130435,1,0.16789349242585908,3.587037960449059,0.0014262354651163045,CONTINUE
calibration,100,8,RUGGED,32,0.0,0.15351063342350169,0.1978034420289855,14,0.834516883168245,12.331551558810002,-0.015625,STOP
calibration,100,9,EASY,4,0.0,0.09612415170856939,0.397758152173913,1,0.14640162010964258,0.6273676885183812,0.15344328703703702,CONTINUE
calibration,100,9,EASY,8,0.042592592592592626,0.10433033425796367,0.22871376811594202,0,0.11235851604440285,1.8134026920958262,0.14267939814814815,CONTINUE
calibration,100,9,EASY,16,0.0,0.13655414978607117,0.22792119565217392,4,0.29074136111259197,3.971631553230009,0.10666473765432113,CONTINUE
calibration,100,9,EASY,32,0.0,0.19250736495560278,0.1713088768115942,6,0.4007556116008934,8.924285047610361,0.022598379629629725,CONTINUE
calibration,100,9,MEDIUM,4,0.0,0.09453577605956481,0.397758152173913,1,0.14663997639175821,0.6327882975718682,0.16319653614457832,CONTINUE
calibration,100,9,MEDIUM,8,0.03644578313253022,0.1007629416629645,0.35167572463768115,0,0.10388165471311375,1.6075277806804344,0.14824924698795172,CONTINUE
calibration,100,9,MEDIUM,16,0.0,0.15403300231284606,0.2240715579710145,1,0.15990821481174577,3.236561045933141,-0.013074171686746964,STOP
calibration,100,9,MEDIUM,32,0.0,0.2088974220693028,0.18081974637681159,8,0.5171191427129017,8.934016112770998,-0.015625,STOP
calibration,100,9,RUGGED,4,0.024127906976744162,0.08590481078049972,0.39288949275362317,0,0.1074924077763003,0.6335807434735916,0.21065588662790702,CONTINUE
calibration,100,9,RUGGED,8,0.0,0.09458597141417273,0.2987998188405797,1,0.15945309085594217,1.4346336407843345,0.13534702034883717,CONTINUE
